normalized_formula,formation_energy_per_atom,mpid,e_above_hull,energy_per_atom
Li0.25 Fe0.15 Sb0.1 O0.5,-2.0064638825416665,mp-1318211,0.044174889736114054,-5.87987184475
Li0.15 Fe0.05 Sb0.2 O0.6,-2.0030512994999996,mp-756153,0.05472902493749654,-5.94940377775
Li0.20833333 Fe0.20833333 Sb0.08333333 O0.5,-1.9430892836805544,mp-756791,0.054547108321760795,-6.00275946125
Li0.18181818 Fe0.18181818 Sb0.09090909 O0.54545455,-1.9368663005303028,mp-1177978,0.3609886494318122,-5.764948890454545
Li0.25 Fe0.15 Sb0.1 O0.5,-2.001075932291667,mp-1304822,0.04956283998611344,-5.8744838945
Li0.25 Fe0.15 Sb0.1 O0.5,-2.0093506625416664,mp-1638623,0.04128810973611419,-5.88275862475
Li0.25 Fe0.20833333 Sb0.04166667 O0.5,-2.0383512587499992,mp-765615,0.026882445104161157,-6.005518239166666
Li0.21428571 Fe0.10714286 Sb0.10714286 O0.57142857,-1.9626506933928576,mp-771508,0.07244809854761591,-5.854796211071429
Li0.25 Fe0.15 Sb0.1 O0.5,-2.008508523041667,mp-1275686,0.04213024923611375,-5.8819164852500005
Li0.14285714 Fe0.17857143 Sb0.10714286 O0.57142857,-1.9941844414880958,mp-768602,0.04039134339284978,-6.159713829642857
Li0.14285714 Fe0.21428571 Sb0.07142857 O0.57142857,-2.0327211905952374,mp-756107,0.007561459285721384,-6.255654059285715
Li0.14285714 Fe0.14285714 Sb0.14285714 O0.57142857,-2.0265929702380947,mp-754807,0.002275949642848829,-6.134718877857142
Li0.14285714 Fe0.14285714 Sb0.14285714 O0.57142857,-2.0288689198809524,mp-774920,0.0,-6.1369948275
Li0.14285714 Fe0.21428571 Sb0.07142857 O0.57142857,-2.03809757345238,mp-771712,0.0,-6.263215518571428
Li0.18181818 Fe0.22727273 Sb0.04545455 O0.54545455,-1.959041476666666,mp-1177408,0.0927804138636299,-6.113321559545454
Li0.25 Fe0.15 Sb0.1 O0.5,-2.0083551002916664,mp-1307244,0.04228367198611416,-5.8817630625
Li0.25 Fe0.1875 Sb0.0625 O0.5,-2.0463664551041667,mp-780303,0.015476319843749309,-5.980048071875
Li0.25 Fe0.15 Sb0.1 O0.5,-1.9691895102916674,mp-754805,0.08144926198611291,-5.8425974725000005
Li0.2 Fe0.2 Sb0.06666667 O0.53333333,-2.0019015703333336,mp-772131,0.16390376900000092,-5.956873703333333
Li0.14285714 Fe0.10714286 Sb0.17857143 O0.57142857,-1.9669978886309525,mp-769870,0.046403240178570115,-6.017720315714286
Li0.25 Fe0.16666667 Sb0.08333333 O0.5,-13.568630740208334,mp-778012,0.43202761500000086,-5.526620484166667
Li0.1875 Fe0.25 Sb0.0625 O0.5,-1.976995007187499,mp-756320,0.0,-6.149887510625
Li0.14285714 Fe0.21428571 Sb0.07142857 O0.57142857,-2.0358540670238088,mp-774583,0.002372439464292775,-6.2608430791071426
Li0.22727273 Fe0.06818182 Sb0.15909091 O0.54545455,-2.01589617185606,mp-770854,0.07312837329545285,-5.813557262727273
Li0.25 Fe0.15 Sb0.1 O0.5,-1.9854821632916668,mp-1295199,0.06515660898611397,-5.8588901255
Sb1,0.290331165,mp-80,0.290331165,-3.83866842
Sb1,0.3332963971428572,mp-1179613,0.3332963971428571,-3.795703187857143
Sb1,0.05049243499999978,mp-1179605,0.05049243499999978,-4.07850715
Sb1,0.30193828499999986,mp-10631,0.30193828499999986,-3.8270613
Sb1,0.05056267500000011,mp-133,0.05056267500000011,-4.07843691
Sb1,0.23852348499999998,mp-7761,0.23852348499999998,-3.8904761
Sb1,0.28433999750000005,mp-567144,0.28433999750000005,-3.8446595875
Sb1,0.0,mp-104,0.0,-4.128999585
Sb1,0.12299674249999981,mp-567409,0.12299674249999981,-4.0060028425
Sb1,0.3283519749999999,mp-10630,0.3283519749999999,-3.80064761
Sb1,0.2345710957142855,mp-1179618,0.23457109571428525,-3.8944284892857146
Sb1,0.058897130000000075,mp-632286,0.058897130000000075,-4.070102455
Fe0.33333333 O0.66666667,-1.2662590316666673,mp-540003,0.37814964895832937,-5.953858295833334
Fe0.4 O0.6,-1.6288803575000004,mp-1244911,0.278477985250003,-6.470798454750001
Fe0.5 O0.5,-0.18175231437500017,mp-1181437,1.053367775,-5.66564272
Fe0.42857143 O0.57142857,-1.712666711428572,mp-705416,0.146012557142857,-6.597174282142857
